Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,pfr_id
405,Shawn Bryson,BUF,RB,26,6,0,0,0,0,0,0,13,35,2.69,0,3,1,9,9.00,0,1,,0,,,4,5.4,5.4,4.9,,127,,BrysSh00
406,Desmond Clark,MIA,TE,25,11,0,0,0,0,0,0,0,0,,0,3,2,42,21.00,0,0,,0,,,4,6.2,6.2,5.2,,78,,ClarDe00
407,Jameel Cook,TAM,FB,23,14,1,0,0,0,0,0,0,0,,0,6,4,43,10.75,0,0,,0,,,4,8.3,8.3,6.3,,128,,CookJa00
408,Woodrow Dantzler,DAL,RB,23,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,2,1,1,,,4,4.0,5.0,4.0,,129,,DantWo00
409,Jake Delhomme,NOR,QB,27,4,0,8,10,113,0,0,4,-2,-0.50,0,0,0,0,,0,0,,0,,,4,4.3,4.3,4.3,,58,,DelhJa00
410,Javin Hunter,BAL,WR,22,12,3,0,0,0,0,0,1,9,9.00,0,11,5,35,7.00,0,2,,0,,,4,9.4,9.4,6.9,,144,,HuntJa00
411,Charles Johnson,BUF,WR,30,16,0,0,0,0,0,0,0,0,,0,5,3,39,13.00,0,0,,0,,,4,6.9,6.9,5.4,,146,,JohnCh00
412,Andre King,CLE,WR,29,11,1,0,0,0,0,0,0,0,,0,6,5,41,8.20,0,0,,0,,,4,9.1,9.1,6.6,,145,,KingAn00
413,Shaun King,TAM,QB,25,3,1,10,27,80,0,1,4,25,6.25,0,0,0,0,,0,0,,0,,,4,3.7,4.7,4.7,,59,,KingSh00
414,Jake Soliday,ARI,WR,24,4,0,0,0,0,0,0,0,0,,0,8,4,39,9.75,0,0,,0,,,4,7.9,7.9,5.9,,147,,SoliJa00
415,Karsten Bailey,GNB,WR,25,7,0,0,0,0,0,0,0,0,,0,6,3,26,8.67,0,0,,0,,,3,5.6,5.6,4.1,,150,,BailKa00
416,Phillip Crosby,BUF,FB,26,16,4,0,0,0,0,0,0,0,,0,8,4,33,8.25,0,0,,0,,,3,7.3,7.3,5.3,,132,,CrosPh00
417,Doug Flutie,SDG,QB,40,1,0,3,11,64,0,0,1,6,6.00,0,0,0,0,,0,0,,0,,,3,3.2,3.2,3.2,,60,,FlutDo00
418,Cedric James,MIN,WR,23,5,0,0,0,0,0,0,0,0,,0,2,1,29,29.00,0,0,,0,,,3,3.9,3.9,3.4,,148,,JameCe00
419,Jermaine Lewis,HOU,WR,28,12,2,0,0,0,0,0,3,8,2.67,0,8,2,41,20.50,0,3,1,0,,,3,4.9,5.9,3.9,,149,,LewiJe00
420,Patrick Pass,NWE,FB,25,15,0,0,0,0,0,0,4,27,6.75,0,0,0,0,,0,0,,0,,,3,2.7,2.7,2.7,,133,,PassPa00
421,Cory Sauter,CHI,QB,28,1,0,6,9,59,0,0,2,8,4.00,0,0,0,0,,0,0,,0,,,3,3.2,3.2,3.2,,61,,SautCo00
422,Daimon Shelton,CHI,FB,30,12,8,0,0,0,0,0,0,0,,0,9,7,34,4.86,0,0,,0,,,3,10.4,10.4,6.9,,131,,ShelDa00
423,Todd Yoder,TAM,TE,24,16,0,0,0,0,0,0,0,0,,0,5,2,26,13.00,0,0,,0,,,3,4.6,4.6,3.6,,79,,YodeTo00
424,Robert Baker,MIA,WR,26,10,0,0,0,0,0,0,0,0,,0,4,1,17,17.00,0,0,,0,,,2,2.7,2.7,2.2,,153,,BakeRo00
425,Reggie Barlow,TAM,WR,29,2,1,0,0,0,0,0,0,0,,0,5,3,23,7.67,0,0,,0,,,2,5.3,5.3,3.8,,151,,BarlRe00
426,Todd Bouman,MIN,QB,30,1,0,3,6,85,0,0,1,9,9.00,0,0,0,0,,0,2,1,0,,,2,2.3,3.3,2.3,,62,,BoumTo00
427,Jason Dunn,KAN,TE,29,11,4,0,0,0,0,0,0,0,,0,3,2,16,8.00,0,0,,0,,,2,3.6,3.6,2.6,,81,,DunnJa00
428,Jim Finn,IND,FB,26,12,2,0,0,0,0,0,5,8,1.60,0,9,6,31,5.17,0,2,1,0,,,2,7.9,8.9,4.9,,136,,FinnJi00
